"Team","WINorLOSS","OpponentPoints"
"CLE","W",99
"CLE","W",108
"CLE","L",106
"CLE","W",118
"CLE","W",109
"CLE","W",82
"CLE","L",106
"CLE","W",108
"CLE","W",116
"CLE","L",100
"CLE","L",102
"CLE","W",108
"CLE","L",126
"CLE","W",103
"CLE","L",118
"CLE","L",124
"CLE","L",116
"CLE","W",116
"CLE","W",91
"CLE","L",104
"CLE","W",97
"CLE","W",104
"CLE","W",135
"CLE","W",117
"CLE","L",118
"CLE","W",109
"CLE","W",108
"CLE","W",104
"CLE","W",104
"CLE","L",117
"CLE","W",95
"CLE","L",103
"CLE","W",130
"CLE","L",120
"CLE","L",106
"CLE","L",106
"CLE","W",104
"CLE","L",117
"CLE","W",96
"CLE","W",83
"CLE","L",108
"CLE","W",120
"CLE","L",126
"CLE","W",105
"CLE","L",127
"CLE","L",103
"CLE","L",99
"CLE","W",105
"CLE","W",130
"CLE","W",102
"CLE","W",91
"CLE","L",114
"CLE","L",126
"CLE","L",124
"CLE","L",98
"GSW","L",129
"GSW","W",114
"GSW","W",100
"GSW","W",104
"GSW","W",96
"GSW","L",117
"GSW","W",106
"GSW","W",95
"GSW","W",101
"GSW","W",120
"GSW","W",121
"GSW","W",88
"GSW","W",121
"GSW","W",83
"GSW","W",106
"GSW","W",85
"GSW","W",102
"GSW","W",100
"GSW","L",132
"GSW","W",109
"GSW","W",106
"GSW","W",98
"GSW","W",99
"GSW","L",110
"GSW","W",108
"GSW","W",109
"GSW","W",90
"GSW","W",90
"GSW","W",74
"GSW","W",101
"GSW","W",113
"GSW","L",109
"GSW","W",111
"GSW","W",99
"GSW","W",119
"GSW","W",117
"GSW","L",128
"GSW","W",106
"GSW","W",95
"GSW","W",107
"GSW","W",91
"GSW","W",100
"GSW","W",108
"GSW","W",98
"GSW","L",105
"GSW","W",103
"GSW","W",98
"GSW","W",111
"GSW","W",111
"GSW","W",120
"GSW","L",109
"GSW","W",92
"GSW","W",107
"GSW","W",114
"GSW","L",132
"GSW","W",86
"GSW","W",113
"GSW","W",95
"GSW","W",108
"GSW","L",112
"GSW","L",94
"GSW","W",105
"GSW","W",111
"GSW","L",99
"GSW","L",103
"GSW","L",107
"GSW","W",104
"GSW","W",92
"GSW","W",92
"GSW","W",95
"GSW","W",87
"GSW","W",100
"GSW","W",94
"GSW","W",106
"GSW","W",98
"GSW","W",98
"GSW","W",115
"GSW","W",107
"GSW","W",111
"GSW","W",101
"GSW","L",105
"GSW","W",94
"SAS","W",100
"SAS","W",94
"SAS","W",79
"SAS","W",99
"SAS","L",106
"SAS","W",86
"SAS","L",116
"SAS","L",101
"SAS","W",86
"SAS","W",100
"SAS","W",90
"SAS","W",105
"SAS","W",107
"SAS","W",91
"SAS","W",114
"SAS","W",103
"SAS","W",100
"SAS","L",95
"SAS","W",87
"SAS","W",105
"SAS","W",96
"SAS","W",91
"SAS","L",95
"SAS","W",101
"SAS","W",101
"SAS","W",92
"SAS","W",100
"SAS","W",100
"SAS","L",106
"SAS","W",90
"SAS","W",100
"SAS","W",98
"SAS","W",94
"SAS","L",114
"SAS","W",82
"SAS","W",99
"SAS","W",85
"SAS","L",109
"SAS","W",94
"SAS","L",108
"SAS","W",114
"SAS","W",104
"SAS","W",115
"SAS","W",86
"SAS","W",106
"SAS","L",119
"SAS","L",105
"SAS","W",94
"SAS","W",86
"SAS","W",97
"SAS","L",89
"SAS","W",103
"SAS","W",92
"SAS","L",94
"SAS","W",106
"SAS","W",79
"SAS","W",97
"SAS","W",98
"SAS","W",99
"SAS","W",98
"SAS","W",90
"SAS","W",110
"SAS","W",104
"SAS","L",102
"SAS","W",85
"SAS","W",99
"SAS","L",110
"SAS","L",104
"SAS","W",102
"SAS","W",93
"SAS","W",90
"SAS","W",98
"SAS","W",74
"SAS","L",110
"SAS","W",95
"SAS","W",103
"SAS","W",89
"SAS","L",102
"SAS","W",89
"SAS","L",98
"SAS","L",99
"SAS","L",101
"TOR","W",91
"TOR","L",94
"TOR","W",102
"TOR","W",103
"TOR","W",87
"TOR","L",96
"TOR","W",102
"TOR","W",111
"TOR","W",107
"TOR","L",121
"TOR","L",127
"TOR","W",111
"TOR","L",102
"TOR","L",123
"TOR","W",102
"TOR","W",99
"TOR","W",95
"TOR","W",105
"TOR","W",80
"TOR","W",84
"TOR","L",116
"TOR","W",110
"TOR","W",94
"TOR","W",100
"TOR","W",114
"TOR","L",125
"TOR","W",79
"TOR","W",104
"TOR","W",98
"TOR","W",91
"TOR","L",121
"TOR","L",99
"TOR","W",114
"TOR","L",110
"TOR","W",93
"TOR","L",123
"TOR","L",129
"TOR","W",106
"TOR","W",113
"TOR","W",101
"TOR","W",109
"TOR","L",94
"TOR","L",113
"TOR","L",115
"TOR","L",108
"TOR","L",101
"TOR","W",86
"TOR","L",114
"TOR","W",106
"TOR","L",109
"TOR","L",102
"TOR","W",95
"TOR","W",109
"TOR","L",112
"TOR","L",102
"TOR","L",105
"TOR","W",85
"TOR","W",97
"TOR","W",106
"TOR","W",91
"TOR","L",105
"TOR","W",106
"TOR","L",101
"TOR","W",87
"TOR","L",105
"TOR","L",104
"TOR","W",78
"TOR","L",123
"TOR","W",75
"TOR","W",91
"TOR","W",120
"TOR","W",84
"TOR","W",86
"TOR","W",112
"TOR","L",110
"TOR","W",100
"TOR","W",105
"TOR","L",108
"TOR","W",102
"TOR","W",94
"TOR","W",97
"TOR","W",83
"CLE","W",99
"CLE","W",97
"CLE","L",114
"CLE","W",112
"CLE","L",112
"CLE","L",123
"CLE","L",114
"CLE","L",124
"CLE","W",122
"CLE","L",117
"CLE","W",119
"CLE","L",117
"CLE","W",104
"CLE","W",101
"CLE","W",107
"CLE","W",113
"CLE","W",88
"CLE","W",109
"CLE","W",99
"CLE","W",91
"CLE","W",97
"CLE","W",114
"CLE","W",111
"CLE","W",91
"CLE","W",95
"CLE","L",106
"CLE","W",98
"CLE","W",114
"CLE","W",112
"CLE","W",100
"CLE","W",99
"CLE","L",119
"CLE","W",112
"CLE","L",99
"CLE","L",109
"CLE","L",104
"CLE","W",110
"CLE","L",102
"CLE","W",127
"CLE","L",127
"CLE","L",133
"CLE","L",97
"CLE","L",118
"CLE","W",103
"CLE","L",148
"CLE","L",114
"CLE","W",108
"CLE","W",104
"CLE","L",125
"CLE","W",89
"CLE","L",120
"CLE","L",116
"CLE","W",138
"CLE","W",107
"CLE","W",99
"CLE","W",112
"CLE","L",110
"CLE","W",89
"CLE","L",110
"CLE","W",123
"CLE","L",108
"CLE","L",126
"CLE","W",90
"CLE","W",108
"CLE","L",116
"CLE","L",127
"CLE","W",107
"CLE","L",113
"CLE","W",109
"CLE","W",117
"CLE","W",129
"CLE","W",95
"CLE","W",114
"CLE","L",98
"CLE","W",105
"CLE","W",102
"CLE","W",87
"CLE","W",106
"CLE","W",115
"CLE","L",132
"CLE","W",109
"CLE","L",110
"GSW","L",122
"GSW","W",120
"GSW","L",111
"GSW","W",103
"GSW","W",112
"GSW","W",117
"GSW","L",115
"GSW","W",113
"GSW","W",92
"GSW","W",108
"GSW","W",80
"GSW","W",101
"GSW","W",114
"GSW","W",100
"GSW","L",92
"GSW","W",116
"GSW","W",111
"GSW","L",108
"GSW","W",94
"GSW","W",95
